Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2019,State,19,Iowa,,Rural/Urban,Rural,3403,2410,261642,7194154,3.64,-0.98,-0.2,36762,14.05,-1.35,-1.11
2019,State,20,Kansas,,Rural/Urban,Rural,2897,2254,277785,5590587,4.97,-1.19,-0.21,40024.5,14.41,-0.86,-0.81
2019,State,21,Kentucky,,Rural/Urban,Rural,5776,3624,682023,14658968,4.65,-1.07,-0.16,34216,5.02,-1.59,-0.36
2019,State,22,Louisiana,,Rural/Urban,Rural,1530,1145,163413,4185612,3.9,-1.22,-0.12,9076,5.55,0.55,0.24
2019,State,23,Maine,,Rural/Urban,Rural,2398,1584,160642,3358669,4.78,-1.35,-0.18,31872,19.84,0.89,-0.73
2019,State,24,Maryland,,Rural/Urban,Rural,642,441,41900,1040875,4.03,-1.42,-0.1,6096.5,14.55,0.65,0.17
2019,State,25,Massachusetts,,Rural/Urban,Rural,576,386,27594,823957,3.35,-1.41,-0.07,4907.5,17.78,0.18,0.18
2019,State,26,Michigan,,Rural/Urban,Rural,5222,3710,437184,9163921,4.77,-2.71,-0.66,60903,13.93,-2.26,-1.13
2019,State,27,Minnesota,,Rural/Urban,Rural,4003,3022,242027,7112239,3.4,-1.68,-0.3,31231.5,12.9,-3.84,-0.92
2019,State,28,Mississippi,,Rural/Urban,Rural,4216,3138,438606,9962101,4.4,-1.64,-0.32,31097.5,7.09,-0.18,-0.34
2019,State,29,Missouri,,Rural/Urban,Rural,3829,2375,495809,10279875,4.82,-1.23,-0.22,49766,10.04,-1.61,-0.87
2019,State,30,Montana,,Rural/Urban,Rural,2361,1700,134649,2491023,5.41,-1.64,-0.33,20314,15.09,-3.15,-0.86
2019,State,31,Nebraska,,Rural/Urban,Rural,2031,1546,163593,4108395,3.98,-0.89,-0.23,26942,16.47,-0.16,-0.39
2019,State,32,Nevada,,Rural/Urban,Rural,484,368,31904,651149,4.9,-2.7,-0.47,3273.5,10.26,-1.44,-0.12
2019,State,33,New Hampshire,,Rural/Urban,Rural,2956,1963,99297,2710614,3.66,-2.26,-0.22,18158,18.29,-3.27,-1.1
2019,State,34,New Jersey,,Rural/Urban,Rural,273,164,22672,446385,5.08,-0.12,-0.47,4361.5,19.24,-0.59,-1.61
2019,State,35,New Mexico,,Rural/Urban,Rural,1759,1236,111722,2291529,4.88,-1.5,-0.41,10922.5,9.78,-2.51,-0.93
2019,State,36,New York,,Rural/Urban,Rural,4810,3159,303987,8597542,3.54,-0.6,-0.09,41759.5,13.74,-2.75,-1.12
2019,State,37,North Carolina,,Rural/Urban,Rural,6114,4669,654077,13566966,4.82,-1.22,-0.05,60878.5,9.31,-2.33,-0.5
2019,State,38,North Dakota,,Rural/Urban,Rural,1021,742,50756,1655740,3.07,-0.89,-0.11,7083,13.96,-3.61,-1
2019,State,39,Ohio,,Rural/Urban,Rural,6604,4594,482284,13556145,3.56,-1.82,-0.16,43585,9.04,-1.68,-0.52
2019,State,40,Oklahoma,,Rural/Urban,Rural,3600,2644,374643,7086437,5.29,-1.62,-0.61,34401,9.18,-1.43,-0.6
